run_id,success,gens,evals,secs,fit,conflicts,colors_used,best_solution
56,1,0,200,0.00019788742065429688,0.0,0,4,"[0, 3, 4, 3, 4, 1]"
57,1,0,200,0.00020122528076171875,0.0,0,4,"[4, 1, 3, 3, 2, 4]"
58,1,0,200,0.00021076202392578125,0.0,0,3,"[3, 4, 2, 4, 3, 2]"
59,1,0,200,0.0001971721649169922,0.0,0,4,"[3, 1, 0, 1, 2, 3]"
60,1,0,200,0.0002052783966064453,0.0,0,4,"[0, 1, 2, 2, 4, 0]"
61,1,0,200,0.00019979476928710938,0.0,0,4,"[3, 4, 2, 0, 2, 0]"
62,1,0,200,0.0001990795135498047,0.0,0,4,"[4, 0, 1, 3, 4, 3]"
63,1,0,200,0.00019860267639160156,0.0,0,3,"[3, 0, 3, 0, 2, 3]"
64,1,0,200,0.0003445148468017578,0.0,0,3,"[4, 2, 4, 2, 3, 2]"
65,1,0,200,0.00020265579223632812,0.0,0,4,"[3, 2, 1, 1, 4, 3]"
66,1,0,200,0.00019741058349609375,0.0,0,4,"[1, 3, 2, 0, 2, 0]"
67,1,0,200,0.00019598007202148438,0.0,0,4,"[1, 3, 1, 2, 4, 1]"
68,1,0,200,0.0003342628479003906,0.0,0,5,"[0, 1, 3, 2, 4, 1]"
69,1,0,200,0.0001976490020751953,0.0,0,4,"[1, 3, 4, 4, 2, 4]"
70,1,0,200,0.00019788742065429688,0.0,0,4,"[2, 3, 1, 3, 2, 0]"
71,1,0,200,0.00019884109497070312,0.0,0,4,"[3, 0, 2, 0, 1, 2]"
72,1,0,200,0.00019788742065429688,0.0,0,3,"[4, 0, 4, 2, 4, 0]"
73,1,0,200,0.00020432472229003906,0.0,0,5,"[1, 3, 2, 4, 0, 4]"
74,1,0,200,0.0003311634063720703,0.0,0,5,"[3, 0, 3, 4, 2, 1]"
75,1,0,200,0.00022864341735839844,0.0,0,5,"[0, 3, 1, 2, 4, 0]"
76,1,0,200,0.00019884109497070312,0.0,0,4,"[1, 2, 0, 3, 1, 3]"
77,1,0,200,0.0001990795135498047,0.0,0,4,"[2, 3, 2, 3, 0, 4]"
78,1,0,200,0.00019884109497070312,0.0,0,3,"[0, 1, 4, 4, 0, 1]"
79,1,0,200,0.00023508071899414062,0.0,0,5,"[1, 3, 4, 0, 2, 4]"
80,1,0,200,0.0002002716064453125,0.0,0,5,"[3, 1, 4, 2, 0, 1]"
81,1,0,200,0.00019860267639160156,0.0,0,3,"[0, 1, 3, 3, 0, 1]"
82,1,0,200,0.00019788742065429688,0.0,0,5,"[0, 3, 1, 2, 4, 0]"
83,1,0,200,0.0001952648162841797,0.0,0,4,"[0, 4, 3, 3, 0, 2]"
84,1,0,200,0.00020766258239746094,0.0,0,5,"[4, 2, 1, 1, 0, 3]"
85,1,0,200,0.00021791458129882812,0.0,0,3,"[0, 1, 2, 1, 2, 0]"
